square_feet,bedrooms,bathrooms,age_years,distance_to_city_miles,school_rating,crime_index,lot_size_acres,garage_spaces,renovated,sale_price
1540,2,1.5,5,2.7,9.8,3.8,0.188,2,0,1002422.57
1760,4,4,54,13.1,6.5,41.5,0.357,2,1,501897.39
3030,4,3,20,20.5,6.6,26.3,0.321,2,0,879714.04
2380,3,1.5,30,5.5,7,24.2,0.315,3,0,941033.56
3000,5,3.5,7,3.5,7.9,12.8,0.24,2,0,1529225.48
3240,6,4.5,11,0.5,9.3,15.6,0.266,3,0,2061579.93
3020,6,5,20,16.3,5.2,40.5,0.445,3,1,816951.41
3100,4,3,57,16.8,7,45.1,0.629,3,1,968440.84
2660,3,3,40,9.5,6.6,22.6,0.327,3,1,1149278.92
2820,5,4,24,12.3,8.7,9.9,0.642,2,1,1553317.88
2820,5,4.5,16,4.9,10,6.6,0.111,3,0,1852441.64
1470,3,3.5,4,13,5.4,44.1,0.304,3,0,417313.35
1290,1,1.5,25,13.1,7.9,27.5,0.185,3,0,452264.98
1770,3,2.5,6,4.6,6.9,24.1,0.255,0,0,667829.66
3150,5,4,9,0.4,8.3,19.9,0.13,3,1,1773717.94
1540,3,2.5,14,5.3,8.5,4.3,0.206,2,0,1012930.35
2280,2,2.5,20,17.6,5.8,45.9,0.587,2,0,520967.23
2840,4,4,14,12,7.3,32.6,0.263,2,1,1059819.98
650,1,1,4,9.6,6.8,37.6,0.53,1,1,350241.05
1770,4,3.5,33,7.5,7.6,28.5,0.294,2,1,895827.42
2140,5,4,9,1.2,9,8.7,0.273,0,1,1455922.35
2610,5,4.5,12,18.1,5.7,51.7,0.312,2,1,783936.19
2510,4,3,24,7.1,6.4,18.7,0.265,2,1,887746.74
2530,4,4.5,12,9.3,6.3,16,0.325,3,1,1181593.08
2280,4,4,15,5.9,8.7,22.5,0.319,1,1,1252528.24
1400,2,2.5,25,5.6,8.9,18.1,0.299,3,0,895525.4
1310,3,2,8,18.7,6.2,55.3,0.283,2,0,341816.63
2990,4,4,58,8.7,6.6,23.9,0.622,3,1,1091925.8
1620,2,2.5,66,9.8,6.8,31.8,0.346,0,0,467653.49
1940,3,2.5,36,3,8.8,3,0.229,2,0,1026856.38
1840,3,3,11,0.4,9.8,21,0.113,1,1,1188405.78
1990,5,3.5,30,18.8,4.9,46.4,0.414,1,0,395195.23
2170,3,3,19,12.8,5.9,31.7,0.356,3,0,711396.71
3620,6,5,11,7.5,7.7,18.8,0.395,2,1,1687780.76
2350,4,2.5,8,2.5,6.4,12.8,0.204,2,1,1238638.68
2140,3,2.5,88,6.8,8.9,3.7,0.552,3,1,1296831.94
1400,3,2.5,17,18.4,3.5,37.6,0.509,0,0,263605.07
1310,3,2,3,11,5.8,23,1.113,0,0,485505.82
1250,2,2,68,4.7,7.7,25,0.432,2,1,601052.52
1620,2,2,51,5.2,7.2,19.5,0.572,1,0,730182.42
2910,4,4,9,6,9,17.7,0.286,2,0,1726703.26
2000,3,2.5,12,21.1,4.8,53.3,1.078,3,1,558715.13
3890,5,4,16,16.3,6,39.2,0.3,2,1,1223721.82
2190,3,3,59,14.3,7,19.7,0.703,1,0,795723.74
2310,4,3.5,25,5.5,8.9,23.9,0.333,3,0,1161206.06
2160,4,3.5,30,4.6,9.5,6.8,0.303,1,0,1289720.71
3330,5,3.5,14,17.1,4.7,38,0.279,4,1,943324.91
2370,4,3.5,19,7.2,6,30.1,0.108,3,0,775236.1
2060,3,2.5,16,9.4,7.6,23.2,0.67,2,0,871712.91
1600,2,2.5,12,3.1,8.2,22.8,0.149,3,0,840794.34
1090,3,2.5,11,3,9,14.2,0.368,1,0,724816.85
1340,4,4,17,14.8,5.1,57.5,0.301,2,1,409243.32
1950,1,1.5,26,4.8,7.2,34.9,0.32,1,0,617991.23
2310,3,3.5,79,8.4,6.1,31.7,0.523,3,1,872850.66
2740,5,3.5,17,7,9.3,12.9,0.235,3,0,1455872.98
1750,4,3.5,64,5.8,9,26.3,0.328,1,1,1085961.57
2300,3,3,44,12.9,6.2,46.5,0.369,2,0,550966.67
2980,5,4,10,6.1,7.9,28.7,0.61,3,1,1264489.08
3050,5,4,40,11.3,6.2,25.9,0.211,2,0,1093581.03
3040,6,4.5,49,8,7.3,21.2,0.362,3,1,1551346.49
2670,5,4.5,49,3.2,10,5.3,0.213,2,1,1731487.39
2700,4,3,11,17.5,5.1,47.9,0.419,3,0,625889.8
2510,4,3.5,34,16.1,5.6,34.5,0.408,1,0,717630.57
1900,4,3,30,10.5,7,26.3,0.575,2,0,750962.61
1030,1,1.5,10,8,9.4,13.7,0.278,1,0,562658.97
2370,4,2.5,12,0.4,9.5,3,0.269,3,0,1548758.82
1980,3,2.5,33,19.8,6,51.1,0.561,2,0,457459.36
1820,4,3.5,11,6.2,6.7,23.2,0.2,1,0,594876.57
1960,3,3,20,9.5,7.4,19.6,0.597,3,1,922795.41
1250,3,4,24,4.3,8.4,15.8,0.197,3,0,682720.11
1750,3,3.5,25,6.6,8.7,11,0.382,1,0,1015403.69
3170,5,4,10,22.1,3.3,40.9,1.052,2,0,581731.86
2380,4,3.5,23,8.9,5,50.3,0.856,1,0,593429.69
2740,5,3.5,46,9.6,7.6,12,0.215,2,0,1079513.47
1560,1,1,12,7.4,7.2,32.5,0.171,0,0,621771.09
1790,3,2,63,0.4,8.9,6.8,0.091,1,1,1067426.59
1710,4,2.5,29,19.6,4.7,42.2,0.127,2,0,333998.93
1230,3,2.5,98,11.1,6.2,38,0.192,0,1,322714.52
1300,3,2.5,30,7,6.1,30.3,0.202,0,0,488037.45
1690,3,3,22,0.4,9.4,3,0.154,3,0,1002678.33
1610,4,2,26,5.1,9.3,9.6,0.194,0,0,934002.34
2080,3,2.5,50,15.3,5.4,53,0.323,2,1,515120.12
2700,4,3.5,63,11.5,6.9,41.9,0.484,4,0,754608.54
1980,3,3.5,56,8.8,6.3,33.4,0.387,2,0,691741.42
2550,3,2.5,27,6.3,8,15.7,0.189,2,1,1273036.28
2790,4,3.5,71,3,8.7,11,0.131,1,1,1639805
2690,5,3.5,14,21.9,5.3,32.2,0.66,2,1,760925.27
2550,4,3.5,34,12.2,7.4,39.7,0.407,2,1,904497.9
1870,2,2,24,8.2,7.4,24.2,0.179,2,0,747754.94
2140,3,3,17,4.1,8.2,19.2,0.458,2,0,1045762.39
2250,4,3,43,5.2,8.7,3,0.349,0,1,1336796.46
2550,4,3.5,7,18.8,3.8,42.8,0.503,2,1,615728.78
2150,2,2.5,25,14.5,5.8,38.7,0.313,1,0,550206.13
2540,4,3.5,20,8.3,8.1,22.2,0.245,2,0,1002176.09
1960,3,2.5,26,0.4,9,21.1,0.091,2,1,1101306.72
2420,3,1.5,18,6.8,8.9,5.7,0.549,2,0,1445466
2260,4,3.5,19,14.6,4.3,33.1,0.272,3,0,517959.64
2100,3,3,35,16.2,6.7,38.1,0.267,3,0,648313.55
2760,3,3,14,10.8,7.4,33.3,0.697,4,1,1260682.63
2410,4,3.5,19,4.6,8.7,19.6,0.149,3,0,1245707.63
2650,3,2,28,6.7,9.6,8,0.349,3,1,1701749.01
1670,1,1,35,17.9,5.2,49.2,0.426,2,0,312269.92
1380,4,4,80,4.6,6.7,32.6,0.223,2,1,528638.11
2210,2,2,71,8.7,7.1,36,0.443,2,1,822483.38
2040,4,3.5,10,2.3,10,7.3,0.163,1,0,1134852.13
2620,4,3.5,64,0.4,9.3,11.5,0.163,3,1,1664641.76
1990,4,3,17,27.2,5.6,40,0.339,0,0,380984.44
2460,4,2.5,32,18.2,6,44.2,0.176,3,0,666161.97
1220,2,1.5,45,13.8,6.8,24.8,0.378,1,0,415777.87
1960,3,3.5,25,3.5,8.1,8.1,0.17,2,0,999154.56
3150,5,3.5,45,0.4,9.1,3.6,0.132,2,1,2001094.22
2350,3,4,46,20.6,5.2,38.2,0.349,2,0,461487.44
2050,3,2,34,19.1,6.7,42.4,0.881,3,0,612821.54
2600,4,3,21,2.4,6.6,16.3,0.385,1,0,1031635.74
1700,5,4,15,2.8,9.8,3,0.159,1,0,954012.37
2600,3,3,39,0.4,9,7.9,0.16,3,0,1561509.26
1840,3,2,36,16,4.5,44.2,0.973,3,1,500137.11
2700,4,3,11,16,7.5,52.2,0.446,2,0,770989.56
2040,4,4,56,13.4,7.4,29.6,1.118,1,1,829783.03
2240,4,3.5,39,3.9,8.6,8.3,0.432,1,1,1215336.27
2410,4,2.5,36,7.9,10,3.6,0.64,3,1,1587476.56
2910,5,5.5,44,18.3,4.9,44,0.274,2,0,562558.63
2690,4,4.5,21,18.4,5.9,54.2,0.837,3,0,777000.62
2740,6,3.5,22,7.4,6.7,28,0.418,2,1,1142061.94
1490,1,1,34,6.2,8.3,28.7,0.461,2,1,799087.14
2270,4,4,10,4.3,9.7,3,0.471,2,1,1597980.39
2450,3,2.5,25,19.4,4.8,47.1,0.51,3,0,477515.97
2200,4,4,36,11.1,6.8,35.5,0.318,1,1,713409.85
1180,1,2,26,7.8,8.4,12.4,0.475,1,1,584818.7
2060,5,5,32,5.4,8.6,20.2,0.466,3,1,1222951.58
2460,4,3,21,1.7,8.2,4.1,0.22,3,0,1539577.43
1510,2,2,9,18.9,5.7,51.4,0.696,1,0,324748.8
1960,3,3,55,21.6,5.9,33.3,0.371,2,1,550043.06
1520,2,1,44,9.6,8.8,24.4,0.45,2,1,708690.05
2740,5,3.5,21,9.2,8.7,9.4,0.303,3,1,1519231.38
2570,5,5,15,0.4,9.6,12,0.193,3,1,1748857.53
1610,3,3,42,17.8,5,43.9,0.151,2,1,412877.41
2240,5,4.5,43,10.4,7,29.2,0.227,2,1,819642.08
2670,5,4,14,5.9,7.9,15.7,0.305,2,0,1179539.98
2360,3,3,49,5.2,9,7.9,0.219,2,0,1146371.29
1350,1,2,51,1.4,9.3,3,0.111,1,1,857550.78
1960,3,2,49,11.8,5.2,44.7,0.148,2,1,489477.07
1530,3,3.5,53,14.3,7.1,32.5,0.328,0,0,412320.22
2170,4,4,20,7.7,7.4,19.2,0.206,3,1,1006790.17
1450,2,2,19,4.5,9.6,13,0.175,3,0,796387.57
1580,3,1.5,26,0.4,9.9,3,0.287,1,0,1015804.17
2080,2,3,25,15.2,4.6,45.5,0.375,2,0,434193.47
2060,3,3,43,9.7,6.8,25.4,0.356,2,0,679504.7
2190,3,2.5,14,11,5.6,21,0.255,1,1,858932.27
2630,5,4,36,2.9,8.9,13.2,0.282,2,0,1351011.18
2150,4,4.5,44,8.8,8.3,3,0.268,1,1,1300021.66
2940,5,4,19,18.5,5.5,40.1,0.49,3,0,720539.83
2240,3,2.5,10,5.3,6,31.4,0.296,2,0,712284.19
2240,3,3.5,62,15.6,7.7,27.4,0.466,1,1,844036.04
2890,5,4,43,5,8.4,13.9,0.141,3,0,1425636.24
1880,2,2.5,28,3.8,9.1,15.7,0.282,1,0,1061463.64
3080,5,3.5,24,21.3,3.9,51.9,0.322,3,1,621254.78
2100,4,2.5,30,11.9,6.9,29.5,0.231,2,0,667791.96
2070,5,4,9,7.9,7.3,29.2,0.441,3,0,894652.2
2730,4,5,26,5.1,7.9,10.7,0.446,4,0,1471436.4
1510,3,3,2,3.5,7.5,13.7,0.34,3,1,1009863.52
2060,3,2,42,18,6.2,34.3,0.335,2,1,532152.56
1590,1,1,42,17.3,4.3,37.2,0.145,2,0,354327.86
1640,5,4.5,6,10.3,6.3,16.9,0.479,1,0,659104.03
1570,1,1.5,32,6.7,9,10.9,0.51,3,0,800608.69
3310,5,4,25,5.2,9,3,0.183,3,1,2137291.09
1280,3,2.5,97,20.7,4.1,50.2,0.575,1,0,155874.56
2840,3,3,35,17.4,5.3,32.4,0.925,2,0,766626.98
1260,3,3.5,61,15.2,7.8,20.1,0.788,1,1,566863.84
1530,2,2.5,10,0.4,8.9,8.7,0.196,2,0,829465.3
2820,5,4,41,4.5,10,7.9,0.177,2,0,1728825.42
2530,5,4.5,42,19.4,5.6,51.4,0.575,2,0,484383.55
2350,4,3,36,13.6,5.5,41.7,0.225,3,1,698176.79
2580,4,3,13,9.8,7.4,33.6,0.284,2,0,966641.51
2600,2,1.5,23,9.2,8.6,20.5,0.341,1,0,1140341.66
2990,5,4.5,83,0.4,10,12.7,0.289,2,1,1904223.34
2420,3,2.5,101,22.2,4.6,40.7,0.256,2,1,405224.17
1540,3,2.5,11,18.5,5.6,43.9,0.577,2,0,452478.73
2320,3,2.5,11,3.3,6.7,20.7,0.238,2,0,961558
2310,3,2.5,51,3,7.5,20.2,0.178,2,0,1087359.73
2160,4,3,16,4.5,7.3,7.5,0.243,2,0,1272985.21
2530,5,5,14,14.6,6.2,44,0.267,3,0,679422
2500,5,4.5,25,11.1,6.3,38,0.305,2,0,717179.42
2620,3,3,15,6.1,8.2,23.5,0.126,3,0,1096219.99
2330,3,2.5,50,7.3,7.5,13.9,0.367,0,1,1071411.51
2190,3,3.5,22,6.4,9.4,19.2,0.326,2,0,1294224.5
2460,3,3,62,17.5,4.1,39.7,0.436,2,1,493898.47
2870,4,4.5,22,9.4,6.7,32.5,0.315,3,0,899158.09
2020,5,4.5,14,9.2,7.3,12.5,0.22,2,1,920141.15
2680,4,3.5,84,3.8,9.1,4.9,0.088,3,1,1410201.85
3380,5,4.5,23,2.7,8.7,12.9,0.198,2,0,1993947.26
3630,5,3.5,24,16.9,4.3,37.9,0.476,3,1,879123.67
1830,3,2.5,13,10.8,6.1,22.5,0.353,1,0,580989.06
2110,4,3.5,39,8.1,7,32.1,0.153,1,0,756240.73
2600,5,4.5,66,8.2,9.8,18.4,0.512,2,1,1367661.24
2290,5,3.5,13,1.6,9.3,4.3,0.149,3,1,1571515.01
1520,2,2,20,17.5,4.1,43,0.347,1,0,281370.29
1160,2,2.5,44,14.8,7.4,40.6,0.221,3,1,444480.64
2150,3,2,22,9.3,8.1,12,0.651,1,0,879907.45
2270,5,5,15,4.8,8.8,7.1,0.395,2,0,1204400.07
2530,5,4,29,5.6,8.6,5.7,0.393,2,1,1612938.08
2330,2,2.5,38,12.4,5.1,49.8,0.622,3,0,528150.69
2310,1,2.5,25,7.9,6.3,19.4,0.836,2,0,778733.6
1180,4,2.5,21,8.2,5.5,21.8,0.304,0,0,469565.19
1980,3,1.5,54,6.9,9.3,14.3,0.427,1,1,1015677.61
1380,2,1.5,78,0.4,7.9,7.3,0.3,1,1,828055.32
2110,4,4.5,27,18,5.9,36.6,0.516,2,0,529027.72
1710,5,4.5,27,9.7,4.6,20.1,0.208,2,0,553754.59
1950,3,3,37,9.3,8.9,28.1,0.224,1,1,846747.19
1630,2,2.5,31,4.7,9.4,6,0.12,0,0,812767.21
2560,3,3,19,5.2,8.5,14.8,0.165,2,1,1592731.54
2330,6,5.5,42,12.2,4.4,50.1,0.447,2,0,516237.43
2320,3,3,10,4.7,6.1,43.8,0.284,2,0,691537.34
3190,6,5.5,20,8.5,6.4,15.7,0.328,1,1,1363939.27
2270,3,3,24,8.8,9.1,16.1,0.398,2,1,1197898.76
2220,4,4,25,2.8,10,4,0.148,1,0,1385842.4
2900,3,3.5,26,21.9,5.7,58.6,0.459,3,0,568034.01
2540,3,1.5,21,10.4,6.9,46.9,0.268,2,0,698067.65
1250,1,1.5,74,7.3,7.6,26.3,0.38,1,1,487650.94
1070,2,2.5,33,12.5,7.7,3.9,0.389,1,0,475311.01
2840,3,2.5,16,3,9.3,3,0.238,3,0,1804974.95
1310,2,2,42,16.6,5.4,47.3,0.312,2,0,269422.48
2150,4,3,21,7.4,5.1,24.2,0.364,2,0,684515.19
2000,2,1.5,18,10.1,7.5,32,0.315,3,0,770524.56
2850,5,2.5,9,9.6,8.9,29,0.202,3,0,1367436
2250,4,3,6,5.2,9.1,15.7,0.321,2,0,1397612.26
2270,4,2.5,29,15.8,5.9,39.3,0.528,2,1,614684.26
2260,3,3,37,14.5,7.9,40,0.376,1,0,635486.16
2820,3,2.5,18,7.1,7,32.6,0.156,2,0,992853.83
3260,4,3,26,9.8,7.5,26.4,0.199,3,1,1573183.4
2560,4,4.5,8,0.6,9.1,7.3,0.242,1,0,1545566.6
1250,2,2.5,54,17,7.2,31.5,0.23,1,0,294618.72
2170,3,1.5,24,13.5,7,28.4,0.199,1,0,607088.31
2320,5,4,72,1.5,7,27.7,0.61,2,1,966021
2450,3,3.5,14,2.2,9.3,19.4,0.237,1,0,1250338.61
1970,4,3.5,40,4.4,9,3,0.132,1,0,1141669
1990,2,2.5,32,22.4,6,44.9,0.386,2,0,401500.69
2420,3,3.5,24,12,5.6,49.1,0.177,3,0,712310.02
2400,5,5,18,2.9,6.1,36.3,0.3,2,0,928058.92
2240,2,1.5,33,4.2,6.2,12.4,0.362,2,0,1004103.1
2680,4,3,11,0.6,8.6,8.6,0.061,2,0,1638705.78
3050,4,3,26,17,4.6,58.8,0.573,2,0,551559.01
3000,4,4,20,14.1,6.1,48.9,0.387,2,1,984854.46
3180,5,4.5,30,8.2,8,22.5,0.295,3,0,1287544.12
2920,4,2.5,16,10.3,8,14,0.122,2,0,1440056.01
2470,3,3,40,7.8,8.8,16,0.28,3,0,1409159.29
2560,6,4,34,25.1,5,42.1,0.731,2,0,551205.59
2030,3,3,12,5,6.6,34.3,0.176,4,0,759400.81
2360,4,3,9,10.5,6,29.2,0.223,3,0,961293.1
2600,4,3,57,5.1,9.4,12.8,0.321,3,0,1339750.08
1930,1,1.5,25,1.9,10,17,0.17,2,0,1184769.91
4210,5,4,1,21.1,4.5,51,0.707,4,1,1072658.65
2300,2,1.5,13,11.4,7.5,39,0.759,2,0,730499.11
2370,4,3,19,6.4,7.1,18.3,0.15,3,1,1079137.83
1640,4,4,10,0.4,8.5,19.2,0.316,2,0,927755.38
3110,6,4.5,27,2.9,9.1,4.9,0.236,2,0,1946006.39
3480,6,4,63,20.5,4.5,31,0.416,2,0,647899.84
2040,2,2,26,12.3,6.3,18.1,0.432,2,0,678910.47
1810,4,3,39,8.1,6.8,34.9,0.348,1,0,668352.44
1310,3,3.5,13,3.5,7.8,13.2,0.286,2,0,735937.66
2340,3,1.5,14,4.2,9,14,0.214,2,0,1322767.16
2070,3,2.5,26,18.8,5,39.5,0.49,1,0,446666.44
2330,4,3.5,59,7,6.8,32.7,0.245,2,0,726050.36
2540,6,5.5,19,7.2,6.6,35.6,0.606,3,1,1145884.84
1920,3,3.5,18,14.9,7.9,10.6,0.25,2,0,985294.78
2240,5,4,56,0.4,9.7,10.8,0.085,2,0,1378262.29
3350,6,5,26,15.1,3.5,49.9,0.516,3,0,719413.23
2520,5,4.5,29,12.9,6.9,24.5,0.402,2,0,813105.77
2660,5,4.5,41,12.1,6.9,23.1,0.459,3,0,1068522.47
3010,4,4,11,5.6,9,3,0.151,2,0,1636481.58
2150,2,2,20,0.5,8.3,8.7,0.155,3,0,1265438.49
1250,2,2.5,35,18.3,4.1,36.5,0.4,1,0,259992.49
3090,5,4.5,10,12.5,5.9,36.9,0.229,4,1,1083090.35
2000,3,2.5,21,9.7,6.9,30.8,0.209,2,0,716819.14
1910,2,2,55,6.8,8.8,15.9,0.467,3,0,970264.46
1950,3,2.5,32,6,9.5,11.5,0.425,2,1,1225212.04
2540,4,3.5,24,16.1,5,36.8,0.366,2,1,682080.71
2610,6,5,13,7.9,6.1,25,0.242,2,1,1002078.6
2260,3,1,29,9.4,7.5,23.6,0.69,3,0,932107.97
2040,3,3.5,14,0.4,7.7,16.6,0.276,2,1,1156584.74
4320,6,4.5,32,6.5,10,6.3,0.328,3,1,2450000
3170,4,3.5,51,20.1,5.4,37.7,0.446,3,0,665010.14
2550,4,4,26,8.2,6.1,32.2,0.375,3,0,838133.32
1650,2,2.5,33,8.7,6.8,30.8,0.392,1,0,579547.29
2010,2,2,15,9.1,8.5,14.2,0.391,2,0,998197.49
2380,2,2.5,48,9,10,10.5,0.595,1,1,1469762.19
1870,4,3.5,48,16.1,5.3,45.7,0.329,2,1,498766.17
3820,6,3.5,16,14.1,6.2,41,0.327,4,0,1165528.64
1930,4,4,10,4.1,8,13,0.221,2,0,883394.73
1900,4,3.5,15,9.2,8.4,15.1,0.301,1,0,922168.5
2190,3,3.5,16,0.4,8.5,15.9,0.236,1,0,1282575.67
2080,4,4.5,39,17.6,6.5,32.1,0.237,2,0,517761.65
1720,3,3,35,8.4,7.3,18.9,0.333,1,0,611795.12
2430,3,2.5,43,7.3,6.7,25.4,0.231,2,0,903844.57
1820,3,2.5,26,1.9,8.5,5.4,0.129,2,0,948042.6
2480,5,3.5,9,7.4,8.5,13.8,0.317,2,0,1498347.15
2190,6,4.5,45,18.6,6.9,41.7,0.533,3,1,645846.13
1310,3,3.5,34,8.3,7.2,26.4,0.72,2,0,553057.69
2620,3,2.5,7,8,6.7,20,0.136,2,0,1027475.72
2000,3,2,10,6.1,9.1,8.2,0.11,2,0,1038925.17
2040,3,3,33,4.2,9.5,7.5,0.269,1,0,1198410.43
3080,4,3.5,26,19.5,6.6,43.1,0.853,2,0,706670.67
2720,3,3.5,29,7.8,7.3,42,0.117,2,1,958277.78
2970,6,5,39,10.5,7.8,30.3,0.223,1,1,1169155.09
1870,3,2,27,3.7,7.4,27.2,0.205,2,0,859311.17
1850,3,2,14,4.2,7.8,25.5,0.289,2,1,1138022.7
2600,6,5,7,21.6,5.3,42.1,0.346,3,0,611525.99
2540,5,4,17,22.6,5.8,26.7,0.371,2,0,785021.63
3540,5,4,23,8.5,8.3,21.9,0.458,3,0,1463963.31
1360,3,2.5,35,3.8,8.7,5.1,0.253,2,0,769784.88
2640,5,5,20,9.1,8,5.9,0.393,1,0,1497213.83
1530,2,3,40,17.6,5.3,45.7,0.198,2,0,310449.3
2380,5,5.5,52,13.7,7.4,32.8,0.559,4,1,922841.77
2010,3,2,4,11.6,7.6,32.4,0.436,1,0,737312.1
2740,5,4,47,3.5,8.3,16.9,0.312,2,0,1318556.92
3170,5,5,12,0.8,9.6,3,0.308,2,0,2025252.49
3260,6,5.5,5,17.8,6.4,47.5,0.257,1,1,863781.91
1810,3,2.5,7,11.3,5.7,28.4,0.211,2,0,575806.68
3250,6,4.5,10,10.2,8,20.8,0.387,2,0,1380253.87
2890,5,4,37,10,9.6,15.1,0.271,2,1,1551891.68
2100,2,1,18,7.9,9.7,13.3,0.172,2,0,1209382.92
3440,5,4,70,20.4,5.4,40.9,0.486,2,1,733164.03
1280,3,2,9,10.8,6.2,39.4,0.173,0,0,341757.15
1790,3,2,54,6,8.4,28.8,0.378,3,0,760538.81
1370,2,2,43,12.4,9.2,12.5,0.175,3,1,762413.49
1340,3,2.5,3,9.1,9.4,6.5,0.237,1,1,899893.83
2090,4,3.5,26,15.8,7.1,38,0.517,2,1,655249.3
2370,6,5,57,13.7,6.7,25.7,0.562,2,1,871211.07
1680,2,2.5,9,6.3,5.9,28.1,0.325,1,0,605545.25
1530,2,2,57,5.2,9.3,13.4,0.421,3,1,867521.47
2760,3,3,52,4.8,8.5,3,0.26,3,0,1603078.87
2490,3,2.5,7,16.7,4.8,44.5,0.306,1,0,446753.49
1870,3,2.5,10,17.6,5.6,34.7,0.347,1,0,459467.29
2600,4,4.5,59,9.2,7.8,19.8,0.624,2,0,1058217.82
2150,2,2.5,61,10.6,9.8,14.7,0.165,1,1,1121563.46
2570,4,2.5,82,4.8,9.5,8.7,0.379,2,0,1474514.14
930,2,1,18,16.8,4.5,31.6,0.211,0,0,209270.22
1250,3,2.5,21,12.4,6.2,26.5,0.823,1,0,430643.03
1530,3,3,21,9.1,6.1,30,0.463,2,0,626642.27
2950,6,5,21,7.8,7.3,21,0.306,2,0,1426265.32
2700,4,3.5,28,9.7,8.4,20.2,0.315,1,0,1504745.28
2500,4,4,29,18.7,4.6,35.5,0.395,3,0,548238.7
1970,1,2,14,3.5,7,43.6,0.18,1,0,588017.57
1900,4,3.5,12,11.2,8.6,22.6,0.237,2,0,869361.79
1290,1,1,55,0.4,7.7,12.1,0.326,1,0,574886.42
3470,6,5.5,38,4.9,8.9,17.2,0.345,3,1,2119613.01
2460,5,3.5,13,18.8,6.5,38.9,1.12,2,0,667882
2280,2,3,44,13.1,6.8,43.3,1.075,3,1,813163.26
1620,2,2,64,7.9,7.4,22.1,0.103,1,1,613859.25
2500,6,4.5,70,4.4,8.2,18.9,0.136,3,0,1210353.37
2010,4,4,13,4.7,10,6.7,0.173,2,0,1305644.78
2220,3,1.5,37,18.2,5.2,48.5,0.565,3,0,455023.9
1260,2,3.5,6,1.8,7,18.8,0.296,1,0,479924.63
1940,4,3,24,10.6,6.2,26.3,0.339,3,0,736179.77
2490,4,4.5,16,1.2,10,6,0.093,2,0,1441831.96
2610,5,5,59,0.4,8.6,8,0.369,2,1,1642440.87
2250,4,4,24,20.9,4.6,50,0.565,2,1,571344.58
2400,6,4,18,17.8,4.2,34.4,0.847,2,0,667342.47
2190,3,3,15,7.1,8.5,24.2,0.482,0,1,946319.85
3760,6,4.5,3,2.7,9.4,10,0.044,4,0,2088282.03
3170,6,4.5,31,0.8,10,6.4,0.178,3,0,2029125.52
1690,4,3.5,36,21.1,5.5,38.3,0.612,2,0,420661.7
2620,5,3.5,33,10.9,6.5,30.9,0.417,1,0,764197.81
2300,2,2.5,71,9.7,7.4,19.3,0.244,2,1,881652.97
2280,4,5,17,9.4,8.6,5.8,0.36,1,0,1189105.56
1590,4,3.5,13,7.9,8.8,16,0.329,1,1,1003591.42
3080,6,4.5,12,17.3,5.3,43.8,0.448,3,0,750526.27
1290,2,2,21,14.2,7.6,34.6,0.263,0,1,448396.86
2010,4,2.5,12,9.7,8.4,20.9,0.159,2,0,882587.24
2550,3,3,43,1.4,9.7,14.5,0.194,2,1,1418412.43
2400,5,4,27,0.4,9.9,9.1,0.289,3,0,1556535.99
